"system";"bug_id";"instance_id";"is_ob";"is_eb";"is_sr"
"firefox";"298807";"0";"x";"x";""
"facebook";"8818";"0";"x";"x";""
"eclipse";"298837";"0";"x";"";"x"
"firefox";"616093";"0";"x";"";"x"
"facebook";"4665";"0";"x";"";""
"firefox";"489595";"0";"x";"x";"x"
"facebook";"4412";"0";"x";"";""
"firefox";"560109";"0";"x";"";""
"firefox";"309377";"0";"x";"";"x"
"eclipse";"136242";"0";"x";"";"x"
"eclipse";"189497";"0";"";"x";"x"
"httpd";"43263";"0";"";"x";""
"httpd";"46616";"0";"x";"";""
"eclipse";"299011";"0";"x";"";""
"facebook";"6931";"0";"x";"";"x"
"firefox";"403387";"0";"x";"x";"x"
"httpd";"8034";"0";"x";"";""
"firefox";"379552";"0";"x";"x";"x"
"eclipse";"16207";"0";"x";"x";"x"
"firefox";"243855";"0";"x";"";"x"
"eclipse";"320785";"0";"x";"";""
"httpd";"16696";"0";"x";"";""
"httpd";"44402";"0";"";"x";""
"firefox";"629409";"0";"x";"x";"x"
"httpd";"17495";"0";"x";"";""
"httpd";"46582";"0";"x";"";""
"httpd";"15751";"0";"x";"x";""
"facebook";"8347";"0";"x";"";""
"eclipse";"73299";"0";"";"x";""
"facebook";"10347";"0";"x";"";""
"httpd";"45356";"0";"x";"";""
"httpd";"33499";"0";"x";"x";""
"httpd";"17856";"0";"x";"";""
"httpd";"50902";"0";"x";"";""
"httpd";"9972";"0";"x";"";""
"httpd";"25090";"0";"x";"";""
"eclipse";"127617";"0";"x";"";""
"firefox";"352242";"0";"x";"";"x"
"eclipse";"119023";"0";"x";"";"x"
"facebook";"2835";"0";"x";"";""
"httpd";"35721";"0";"x";"";""
"eclipse";"50884";"0";"x";"";""
"eclipse";"60101";"0";"x";"";"x"
"eclipse";"204132";"0";"";"x";""
"firefox";"283880";"0";"x";"x";"x"
"eclipse";"48130";"0";"x";"";"x"
"facebook";"3427";"0";"x";"";""
"firefox";"422326";"0";"x";"";""
"facebook";"2736";"0";"x";"";""
"eclipse";"83292";"0";"";"";"x"
"facebook";"15387";"0";"x";"";""
"firefox";"421295";"0";"x";"x";"x"
"facebook";"16250";"0";"x";"";""
"httpd";"26526";"0";"x";"x";""
"firefox";"410292";"0";"x";"x";""
"eclipse";"329047";"0";"x";"";"x"
"firefox";"341327";"0";"x";"x";"x"
"firefox";"421854";"0";"x";"x";"x"
"facebook";"6034";"0";"x";"";""
"facebook";"8160";"0";"x";"";""
"eclipse";"16643";"0";"x";"";"x"
"httpd";"24750";"0";"x";"";""
"eclipse";"335951";"0";"x";"x";""
"facebook";"16175";"0";"x";"x";""
"eclipse";"75521";"0";"x";"";"x"
"facebook";"6351";"0";"x";"x";""
"facebook";"7198";"0";"x";"";""
"httpd";"27424";"0";"x";"";"x"
"httpd";"43250";"0";"x";"x";"x"
"firefox";"347012";"0";"x";"";""
"eclipse";"63650";"0";"x";"";"x"
"facebook";"14578";"0";"x";"";""
"firefox";"642737";"0";"x";"x";"x"
"firefox";"468770";"0";"x";"";""
"facebook";"16712";"0";"x";"";""
"eclipse";"302185";"0";"x";"";""
"httpd";"45487";"0";"x";"x";""
"firefox";"266508";"0";"x";"x";"x"
"facebook";"10689";"0";"x";"";""
"firefox";"215939";"0";"x";"x";"x"
"httpd";"20402";"0";"x";"x";""
"facebook";"12951";"0";"x";"x";""
"facebook";"14981";"0";"x";"";""
"facebook";"3030";"0";"x";"";"x"
"httpd";"8141";"0";"x";"";"x"
"facebook";"7952";"0";"x";"x";"x"
"facebook";"15363";"0";"x";"";""
"firefox";"233739";"0";"x";"";"x"
"firefox";"457187";"0";"x";"x";"x"
"eclipse";"148757";"0";"x";"";"x"
"firefox";"334301";"0";"x";"x";"x"
"firefox";"337760";"0";"x";"x";"x"
"firefox";"439967";"0";"x";"";"x"
"firefox";"343431";"0";"x";"";""
"eclipse";"39493";"0";"x";"";""
"eclipse";"165342";"0";"x";"x";""
"httpd";"44962";"0";"x";"";"x"
"httpd";"8713";"0";"x";"";""
"eclipse";"298926";"0";"x";"";""
"httpd";"27076";"0";"x";"x";""
"eclipse";"150";"0";"x";"x";""
"eclipse";"108559";"0";"x";"";""
"facebook";"8455";"0";"x";"";"x"
"eclipse";"155913";"0";"";"";"x"
"eclipse";"17740";"0";"x";"";""
"httpd";"27535";"0";"x";"";""
"facebook";"5018";"0";"x";"";""
"facebook";"12646";"0";"x";"";""
"facebook";"864";"0";"x";"x";"x"
"facebook";"2476";"0";"x";"";""
"facebook";"612";"0";"x";"x";""
"facebook";"9104";"0";"x";"";""
"eclipse";"161472";"0";"x";"";""
"facebook";"1498";"0";"x";"";""
"facebook";"2379";"0";"x";"";"x"
"firefox";"251376";"0";"x";"x";"x"
"httpd";"40657";"0";"x";"x";""
"firefox";"377066";"0";"x";"";""
"httpd";"13356";"0";"x";"";""
"facebook";"8881";"0";"x";"";""
"httpd";"48652";"0";"";"x";""
"httpd";"14418";"0";"x";"";""
"firefox";"240494";"0";"x";"";""
"httpd";"18492";"0";"x";"";""
"firefox";"384936";"0";"x";"x";"x"
"eclipse";"313147";"0";"x";"x";""
"firefox";"284528";"0";"x";"x";"x"
"facebook";"14224";"0";"x";"x";""
"httpd";"15336";"0";"x";"";"x"
"eclipse";"79982";"0";"x";"x";""
"httpd";"43275";"0";"x";"";""
"facebook";"305";"0";"x";"";""
"facebook";"18169";"0";"x";"";""
"firefox";"396039";"0";"x";"x";"x"
"eclipse";"135728";"0";"x";"";""
"facebook";"13756";"0";"x";"";""
"eclipse";"325264";"0";"";"";"x"
"httpd";"25507";"0";"x";"";""
"httpd";"34901";"0";"x";"x";""
"eclipse";"330854";"0";"x";"";""
"facebook";"2104";"0";"x";"";""
"eclipse";"139083";"0";"x";"";"x"
"httpd";"8546";"0";"x";"";""
"facebook";"8694";"0";"x";"";""
"firefox";"367386";"0";"x";"x";""
"firefox";"549600";"0";"x";"x";"x"
"firefox";"389003";"0";"";"x";""
"facebook";"17609";"0";"x";"";""
"firefox";"302021";"0";"x";"x";"x"
"firefox";"369351";"0";"x";"x";"x"
"firefox";"345843";"0";"x";"x";"x"
"httpd";"11192";"0";"x";"";""
"firefox";"639238";"0";"x";"x";"x"
"firefox";"437110";"0";"x";"";""
"facebook";"11121";"0";"x";"";""
"httpd";"20438";"0";"x";"x";""
"eclipse";"174813";"0";"x";"";"x"
"firefox";"613580";"0";"x";"";""
"facebook";"2998";"0";"x";"";""
"facebook";"7905";"0";"x";"";""
"facebook";"9084";"0";"x";"";""
"facebook";"14206";"0";"x";"";""
"httpd";"19442";"0";"x";"x";""
"firefox";"364478";"0";"x";"x";"x"
"eclipse";"40357";"0";"x";"x";""
"eclipse";"73947";"0";"x";"";"x"
"firefox";"622283";"0";"x";"x";""
"eclipse";"278951";"0";"";"x";"x"
"facebook";"14197";"0";"x";"";""
"firefox";"354584";"0";"x";"x";""
"httpd";"12596";"0";"x";"x";""
"httpd";"21160";"0";"x";"";""
"eclipse";"4207";"0";"x";"x";""
"facebook";"12907";"0";"x";"";""
"firefox";"612524";"0";"x";"";""
"eclipse";"288017";"0";"x";"x";""
"facebook";"8717";"0";"x";"";""
"httpd";"25701";"0";"x";"";""
"facebook";"227";"0";"x";"";"x"
"eclipse";"127201";"0";"x";"";""
"firefox";"326346";"0";"x";"x";"x"
"facebook";"13384";"0";"x";"";""
"firefox";"440010";"0";"x";"x";"x"
"facebook";"3419";"0";"x";"";""
"httpd";"9708";"0";"x";"";"x"
"httpd";"19718";"0";"x";"";""
"eclipse";"303039";"0";"x";"";""
"httpd";"16699";"0";"x";"";""
"httpd";"37145";"0";"x";"";""
"eclipse";"258049";"0";"x";"";""
"httpd";"19441";"0";"x";"";""
