"system";"bug_id";"instance_id";"is_ob";"is_eb";"is_sr"
"httpd";"16696";"1";"x";"";""
"firefox";"283880";"2";"x";"";""
"facebook";"7952";"4";"";"";"x"
"firefox";"468805";"5";"";"x";""
"httpd";"14418";"2";"x";"";""
"firefox";"268527";"5";"";"x";""
"firefox";"421854";"2";"x";"";""
"eclipse";"165342";"4";"";"x";""
"firefox";"334301";"4";"";"";"x"
"eclipse";"127617";"1";"x";"";""
"firefox";"298807";"1";"x";"";""
"facebook";"7952";"3";"x";"";""
"firefox";"409194";"4";"x";"";"x"
"firefox";"468805";"4";"x";"";"x"
"eclipse";"189497";"1";"";"x";""
"firefox";"410292";"2";"x";"x";""
"httpd";"43263";"1";"";"x";""
"httpd";"9490";"1";"x";"";""
"firefox";"268527";"4";"x";"";""
"facebook";"16712";"2";"x";"";""
"facebook";"8160";"1";"x";"";""
"eclipse";"313147";"1";"x";"x";""
"eclipse";"320785";"1";"x";"";""
"facebook";"6351";"1";"x";"x";""
"httpd";"20402";"2";"";"x";""
"facebook";"10347";"1";"x";"";""
"facebook";"8347";"1";"x";"";""
"eclipse";"189497";"2";"";"x";""
"firefox";"268527";"3";"";"";"x"
"firefox";"534059";"6";"x";"";""
"facebook";"7952";"6";"x";"";""
"eclipse";"48130";"1";"x";"";"x"
"eclipse";"119023";"1";"";"";"x"
"httpd";"27535";"1";"x";"";""
"httpd";"8034";"2";"x";"";""
"firefox";"421854";"12";"x";"";""
"httpd";"20402";"3";"x";"";""
"eclipse";"189497";"3";"";"";"x"
"facebook";"10347";"2";"x";"";""
"firefox";"468805";"2";"x";"";""
"firefox";"629409";"2";"x";"";""
"firefox";"248141";"5";"";"x";""
"firefox";"560109";"1";"x";"";""
"httpd";"26526";"2";"x";"x";""
"httpd";"8034";"12";"x";"";""
"eclipse";"298926";"2";"x";"";""
"httpd";"14418";"3";"x";"";""
"eclipse";"17740";"2";"x";"";""
"firefox";"268527";"2";"x";"";""
"facebook";"7952";"5";"";"x";""
"eclipse";"119023";"2";"x";"";"x"
"httpd";"24750";"1";"x";"";""
"facebook";"864";"2";"x";"x";"x"
"firefox";"334301";"5";"";"x";""
"facebook";"2835";"2";"x";"";""
"firefox";"240494";"3";"x";"";""
"httpd";"20402";"4";"x";"x";""
"firefox";"247330";"5";"";"x";""
"facebook";"14224";"1";"x";"x";""
"httpd";"8034";"5";"x";"";""
"httpd";"15336";"1";"x";"";"x"
"facebook";"7747";"4";"x";"";""
"eclipse";"258049";"5";"x";"";""
"eclipse";"83292";"2";"";"";"x"
"facebook";"8881";"2";"x";"";""
"eclipse";"127201";"2";"x";"";""
"eclipse";"161472";"1";"x";"";""
