S_EB_EXP_BEHAVIOR;ExpBehaviorLiteralSentencePM 1
S_EB_SHOULD;ShouldPM 2
P_EB_EXP_BEHAVIOR_MULTI;ExpBehaviorLiteralMultiSentencePM 3
S_EB_IMPERATIVE;ImperativeSentencePM 4
S_EB_WOULD_BE;WouldBeSentencePM 5
S_EB_NEED_TO;NeedsToPM 6
S_EB_EXPECTED;ExpectSentencePM 7
S_EB_MUST;MustSentencePM 8
S_EB_CAN;CanSentencePM 9
S_EB_CAN_QUESTION;CanQuestionSentencePM 10
S_EB_COULD_QUESTION;CouldQuestionSentencePM 11
S_OB_NEG_AUX_VERB;NegativeAuxVerbPM 30
S_OB_INCORRECT;NegativeAdjOrAdvPM 31
S_OB_NEG_VERB;NegativeVerbPM 32
S_OB_VERB_ERROR;VerbErrorPM 33
S_OB_BUT_NEG;ButNegativePM 34
S_OB_NO_LONGER;NoLongerPM 35
S_OB_TO_BE_NO;ThereIsNoPM 36
S_OB_UNABLE_TO;UnableToPM 37
S_OB_VERB_NO;VerbNoPM 38
S_OB_PROBLEM_IN;ProblemInPM 39
S_OB_COND_NEG;ConditionalNegativePM 40
S_OB_OBS_BEHAVIOR;ObsBehaviorLiteralStncePM 41
S_OB_ADV_FREQ;FrequencyAdverbPM 42
P_OB_OBSERVED_BEHAVIOR_MULTI;ObsBehaviorLiteralMultiStncePM 43
S_OB_APPEAR;AppearPM 44
S_OB_INSTEAD_OF;InsteadOfOBPM 45
S_OB_TOO;TooSentencePM 46
S_OB_ERROR_HOW;ErrorHowPM 47
S_OB_EVEN_IF;EvenIfPM 48
S_OB_NO_NOUN;NoNounPM 49
S_OB_ERROR_NOUN_PHRASE;ErrorNounPhrasePM 50
S_OB_ERROR_TERM_SUBJECT;ErrorTermSubjectPM 51
P_SR_LABELED_LIST;LabeledListPM 70
S_SR_CODE_REF;CodeRefPM 71
P_SR_ACTIONS_MULTI_OBS_BEHAVIOR;ActionsMultiPM 72
P_SR_LABELED_PARAGRAPH;LabeledParagraphPM 73
P_SR_SIMPLE_PAST;SimplePastParagraphPM 74
P_SR_COND_SEQUENCE;CondSequencePM 75
