S_EB_EXP_BEHAVIOR;ExpBehaviorLiteralSentencePM 1
S_EB_SHOULD;ShouldPM 2
P_EB_EXP_BEHAVIOR_MULTI;ExpBehaviorLiteralMultiSentencePM 3
S_EB_IMPERATIVE;ImperativeSentencePM 4
S_EB_WOULD_BE;WouldBeSentencePM 5
S_EB_NEED_TO;NeedsToPM 6
S_EB_EXPECTED;ExpectSentencePM 7
S_EB_MUST;MustSentencePM 8
S_EB_CAN;CanSentencePM 9
S_EB_CAN_QUESTION;CanQuestionSentencePM 10
S_EB_COULD_QUESTION;CouldQuestionSentencePM 11
S_EB_INSTEAD_OF_EXP_BEHAVIOR;InsteadExpBehaviorPM 12
S_EB_SUPPOSED_TO;SupposedToPM 13
S_EB_NORMALLY;NormallyPM 14
S_EB_COULD;CouldPM 15
S_EB_WANT;WantPM 16
S_EB_WOULD_LIKE;WouldLikePM 17
S_EB_WAS_ABLE_TO;WasAbleToPM 18
S_EB_BEHAVE_DIFFERENT;BehaveDifferentPM 19
S_EB_CONSIDER_ACTION;ConsiderActionPM 20
S_EB_MAKE_SENSE;MakeSensePM 21
S_EB_NECESSARY;NecessaryPM 22
S_EB_BEFORE;BeforePastClausePM 23
S_EB_REQUIRES;RequirePM 24
S_EB_WHY_FIRST_PLACE;WhyFirstPlacePM 25
P_SR_LABELED_LIST;LabeledListPM 70
S_SR_CODE_REF;CodeRefPM 71
P_SR_ACTIONS_MULTI_OBS_BEHAVIOR;ActionsMultiPM 72
P_SR_LABELED_PARAGRAPH;LabeledParagraphPM 73
P_SR_SIMPLE_PAST;SimplePastParagraphPM 74
P_SR_COND_SEQUENCE;CondSequenceParagrahPM 75
P_SR_CONTINOUS_PRESENT;ContinuousPresentPM 76
S_SR_TRY;TrySentencePM 77
S_SR_MENU_NAV;MenuNavigationPM 78
S_SR_IMPERATIVE_SUBORDINATES;ImperativeSubordinatesPM 79
S_SR_SIMPLE_PRESENT_SUBORDINATES;SimplePresentSubordinatesPM 80
S_SR_MENU_SELECT;MenuSelectPM 81
S_SR_TRIGGERS;TriggerSentencePM 82
P_SR_HAVE_SEQUENCE;HaveSequencePM 83
S_SR_WHEN_AFTER;WhenAfterSentencePM 84
P_SR_ACTIONS_PRESENT;ActionsPresentPM 85
P_SR_ACTIONS_PAST;ActionsPastPM 86
S_SR_ACTIONS_SEPARATOR;ActionsSeparatorPM 87
P_SR_TO_REPRO;ToReproParagraphPM 88
S_SR_COND_THEN_SEQ;ConditionalSequencePM 90
S_SR_AFTER;AfterPM 128
S_EB_USED_TO;UsedToPM 135
S_EB_BETTER_TO;BetterToPM 136
P_SR_ACTIONS_INF;ActionsInfinitivePM 141
S_SR_SIMPLE_PAST;SimplePastPM 144
S_EB_CORRECT_IS;CorrectIsPM 146
S_SR_IMPERATIVE_SEQUENCE;ImperativeSequencePM 148
S_SR_COND_CODE;ConditionalCodePM 149
S_SR_PURPOSE_ACTION;PurposeActionPM 150
S_SR_CONTINOUS_PRESENT;ContinuousPresentSentencePM 151
S_SR_BY_ACTION;ByActionPM 152
S_EB_BUT_CORRECT;ButCorrectPM 155
S_EB_NEG_NOUN_COND;NegativeNounConditionalPM 156
S_EB_WHY_NEG;WhyQuestionNegativePM 157
S_SR_ACTIONS_PRESENT_PERFECT;ActionsPresentPerfectPM 159
P_SR_COND_CODE;ConditionalCodeParagraphPM 162
S_SR_COND_SEQUENCE;ConditionalSequencePM 163
P_SR_LABELED_CODE_FRAGS;LabeledCodeFragmentsPM 164
S_SR_COND_OBS;ConditionalObservedBehaviorPM 165
